id,name,room_type,bed_type,bed,bedrooms,bathrooms,host_id,host_name,street,country,latitude,longitude,price,number_of_reviews,minimum_nights,availability_365
10006546,Ribeira Charming Duplex,Entire home/apt,Real Bed,,3,1.0,51399391,Ana&Gonçalo,"Porto, Porto, Portugal",Portugal,41.1413,-8.61308,80.00,51,2,239
10009999,Horto flat with small garden,Entire home/apt,Real Bed,,1,1.0,1282196,Ynaie,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,-22.966253551739655,-43.23074991429229,317.00,0,2,0
1001265,Ocean View Waikiki Marina w/prkg,Entire home/apt,Real Bed,,1,1.0,5448114,David,"Honolulu, HI, United States",United States,21.28634,-157.83919,115.00,96,3,343
10021707,Private Room in Bushwick,Private room,Real Bed,,1,1.5,11275734,Josh,"Brooklyn, NY, United States",United States,40.69791,-73.93615,40.00,1,14,0
10030955,Apt Linda Vista Lagoa - Rio,Private room,Real Bed,,1,2.0,51496939,Livia,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,-22.971950988341874,-43.205047082633435,701.00,0,1,363
1003530,New York City - Upper West Side Apt,Private room,Real Bed,,1,1.0,454250,Greta,"New York, NY, United States",United States,40.79962,-73.96523,135.00,70,12,93
10038496,Copacabana Apartment Posto 6,Entire home/apt,Real Bed,,1,2.0,51530266,Ana Valéria,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,-22.984339360067814,-43.190849194463404,119.00,70,3,118
10047964,Charming Flat in Downtown Moda,Entire home/apt,Real Bed,,2,1.0,1241644,Zeynep,"Kadıköy, İstanbul, Turkey",Turkey,40.98585,29.03133,527.00,1,2,362
10051164,Catete's Colonial Big Hause Room B,Private room,Real Bed,,1,4.0,51326285,Beatriz,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,-22.92638234778768,-43.18015675229857,250.00,1,2,296
10057447,Modern Spacious 1 Bedroom Loft,Entire home/apt,Real Bed,,1,1.0,51612949,Konstantin,"Montréal, Québec, Canada",Canada,45.51889,-73.59111,50.00,0,1,0
10057826,Deluxe Loft Suite,Entire home/apt,Real Bed,,0,1.0,47554473,Mae,"Brooklyn, NY, United States",United States,40.72778,-73.94472,205.00,5,3,243
10059244,Ligne verte - à 15 min de métro du centre ville.,Entire home/apt,Real Bed,,0,1.0,7140229,Caro,"Montréal, Québec, Canada",Canada,45.54548,-73.54949,43.00,0,2,32
10059872,"Soho Cozy, Spacious and Convenient",Entire home/apt,Real Bed,,1,1.0,51624384,Giovanni,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,22.28158,114.15027,699.00,3,4,0
10066928,3 chambres au coeur du Plateau,Entire home/apt,Real Bed,,3,1.0,9036477,Margaux,"Montréal, Québec, Canada",Canada,45.52233,-73.57383,140.00,0,1,0
10069642,Ótimo Apto proximo Parque Olimpico,Entire home/apt,Real Bed,,2,2.0,51670240,Jonathan,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,-23.00035792660916,-43.4311123147628,858.00,0,15,0
